AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
Ezra E. (7005485958),Slater O. (6507690730),Clays E. (6507717322),Slater O. (6507690730),De Rochemont R.D.M. (6507581808),Molloy F. (6603872219),Cornwell B. (8640951800),Turjanski N. (7004310979),Nikitopoulos K. (6506529979),Clays E. (6507717322)
Reekie I. (55574842900),Mandeville H.C. (6507871905),Fransson E.I. (6508017633),Mandeville H.C. (6507871905),Cuadras P. (6603402940),Reilly R. (7102935766),Robinson O.J. (24468783200),Werbeloff N. (25522505100),Jamieson K. (7007149717),Fransson E.I. (6508017633)
Brennan N. (56478557400),Strackee S.D. (6602263127),Houtman I.L. (6603565884),Strackee S.D. (6602263127),Yoo A.J. (6701827761),Hutchinson M. (7201506609),Grillon C. (35350653100),Osborn D. (57189923687),Congdon B. (56367335500),Houtman I.L. (6603565884)
Georgakarakos N. (56616158900),Merks J.H.M. (6701449992),Suominen S.B. (7003565265),Merks J.H.M. (6701449992),Majoie C.B.L.M. (7003925999),Healy D. (7202291367),Pike A.C. (57192206952),Mistry A. (57201054618),Zhou J. (56367637200),Suominen S.B. (7003565265)
Khawaja A.P. (57205987768),Dunaway D. (7003742514),Pentti J. (7003843149),Dunaway D. (7003742514),Liebeskind D.S. (7004045734),Lynch T. (7203058121),Morris R. (7404056992),Dove J. (57201060651),Lacadie C.M. (6602197691),Pentti J. (7003843149)
Normandin L. (6701813984),Gaze M.N. (7004607359),Vahtera J. (7003922524),Gaze M.N. (7004607359),Van Der Lugt A. (7004201650),Walsh C. (7401952529),Tosolini A. (54404094400),Wilcox R. (7202527030),McCrory E.J. (6602910723),Vahtera J. (7003922524)
Sabourin S. (7004437710),Kremer L.C.M. (7005620037),Batty G.D. (7003988354),Kremer L.C.M. (7005620037),Bracard S. (7004440155),Butler J. (35110895000),Mohan R. (56613639500),Tsiridis E. (9240966200),Mayes L.C. (7006290250),Batty G.D. (7003988354)
Target M. (7004479898),Hartley B. (7006360992),Kittel F. (7004184292),Hartley B. (7006360992),Roos Y.B.W.E.M. (7005626073),Molloy A. (37114824200),Hausenloy D.J. (6602976997),Moazen M. (24173602100),Potenza M.N. (7006591634),Kittel F. (7004184292)
Fonagy P. (7004981532),Balm A.J.M. (7006544999),Kivimäki M. (7004391239),Balm A.J.M. (7006544999),Teitelbaum J. (7005964151),Kimmich O. (39061419100),Ong S.B. (26640545400),Jones A. (26659575500),Sinha R. (7402857594),Kivimäki M. (7004391239)
Ensink K. (14830901900),Van Den Brekel M.W. (7006796331),Oksanen T. (7004617841),Van Den Brekel M.W. (7006796331),Demchuk A.M. (7006058585),Edwards M. (55251354800),Hernández-Reséndiz S. (36025093100),Leonidou A. (35293019800),Elsey J. (56519998100),Oksanen T. (7004617841)
Berthelot N. (55778367100),Clement S.C. (7101659197),Siegrist J. (7004851481),Clement S.C. (7101659197),Devlin T.G. (7006511071),Moore H. (55737422800),Cabrera-Fuentes H.A. (55322522400),Graham S. (35740364200),Coates A. (57206481491),Siegrist J. (7004851481)
Scivoletto G. (6701533068),Saeed P. (7801596105),Jöckel K.H. (7006425858),Saeed P. (7801596105),Lopes D.K. (7006608001),O'Riordan S. (55893470600),Mukhametshina R.T. (55322597700),Mak J. (55661683100),Thanh N.T.K. (7005152034),Jöckel K.H. (7006425858)
Haggard P. (7005933195),Chang Y.C. (8527168700),Alfredsson L. (7007140234),Chang Y.C. (8527168700),Ribo M. (7006988462),Byrne N. (56522684600),Kwek X.Y. (57194577605),Sanuade O. (56026622700),Wu P. (7403119013),Alfredsson L. (7007140234)
Molinari M. (7103134641),Chisholm J.C. (8661098100),Theorell T. (7102121079),Chisholm J.C. (8661098100),Muir K.W. (7102230215),Williams L. (56799634400),Crespo-Avilan G.E. (57200551632),Forriol F. (7003392220),Wang J. (8872601400),Theorell T. (7102121079)
Lenggenhager B. (23009324400),Smeele L.E. (9239601000),Steptoe A. (7102289942),Smeele L.E. (9239601000),Mas J.L. (7102288811),Cappa S. (7005836132),Mogil J.S. (7006362839),Denaro V. (7004909863),Trân N.Q. (36088723300),Steptoe A. (7102289942)
Pazzaglia M. (25422528000),Schoot R.A. (12902583500),O'Reilly D. (7102497710),Schoot R.A. (12902583500),Nogueira R.G. (7102312928),Meteyard L. (22935028100),Orengo C. (7006781333),Vaquero J. (7103086266),Dong Y. (55469812300),O'Reilly D. (7102497710)
Yellon D. (7103223278),Breunis W.B. (13407989300),Shipley M.J. (7103265845),Breunis W.B. (13407989300),Jovin T.G. (7102837475),Vigliocco G. (55919485500),Austin J.S. (8730871100),Loppini M. (24802487100),Chen S. (55733372900),Shipley M.J. (7103265845)
Walker M. (7403866344),Caron H.N. (16554252300),Casini A. (7103318816),Caron H.N. (16554252300),Dowling R.J. (7102921706),Snudden D. (56515243800),Lees J.G. (9636068500),Khan W.S. (35229756200),Wu Y. (56093407600),Casini A. (7103318816)
Davidson S. (10139785100),Pieters B.R. (35511952900),Nielsen M.L. (7402929723),Pieters B.R. (35511952900),Oppenheim C. (7103176170),Stoppard E. (56515325700),Antunes-Martins A. (14014112700),Longo U.G. (55308310300),Zhu Y. (56486250100),Nielsen M.L. (7402929723)
Piotrowska I. (25947752800),Levitt G.A. (36927473600),Hamer M. (8502496600),Levitt G.A. (36927473600),Mitchell P.J. (7402934060),Elbaz A. (7003618656),Bennett D.L. (35560851800),Garcia D. (57191369588),Chen T. (57102170700),Hamer M. (8502496600)
Maulik A. (57086892700),Van Santen H.M. (55891926000),Geuskens G.A. (8644217700),Van Santen H.M. (55891926000),White P.M. (7404089393),Kivimäki M. (7004391239),Dawes J.M. (45760942800),Broad K.D. (7003578598),Chen J. (57158879500),Geuskens G.A. (8644217700)
Géranton S.M. (16444000200),Davila Fajardo R. (55918113700),Hooftman W.E. (8733463300),Davila Fajardo R. (55918113700),Marquering H.A. (8674123800),Bobak M. (7005266289),Mcmahon S.B. (56741596500),Golay X. (7004309393),Chen C. (57189309576),Hooftman W.E. (8733463300)
Tochiki K.K. (25123350600),Gupta S. (56645236900),Rugulies R. (8862020900),Gupta S. (56645236900),Beaumont M. (18436235400),Singh-Manoux A. (9734197200),Baskozos G. (56993941500),Cady E. (7005849630),Zhou W. (57208206795),Rugulies R. (8862020900)
Miller J.R.C. (57199409197),Gajdosova E. (56646310200),Singh-Manoux A. (9734197200),Gajdosova E. (56646310200),Almekhlafi M.A. (20336972000),Canonico M. (13608160000),Trendafilova T. (57115325100),Robertson N.J. (7102941268),Zhang P. (57212992362),Singh-Manoux A. (9734197200)
Hunt S.P. (57202506125),Van Lennep M. (56974237000),Bjorner J.B. (9846764900),Van Lennep M. (56974237000),Lingsma H.F. (24073706400),Dugravot A. (23049197900),Mcdermott L. (57205528198),Bainbridge A. (8576309800),Yang J. (57221479675),Bjorner J.B. (9846764900)
Maiarù M. (57217845767),Abela C. (57213599729),Nordin M. (12790590700),Abela C. (57213599729),Agrinier N. (25627515500),Sabia S. (24339408800),Clark A.J. (57217127342),Faulkner S.D. (8899329100),Chouhan M. (12794809100),Nordin M. (12790590700)
Rombouts K. (6603058561),Ronckers C.M. (57216820999),Dragano N. (13411221500),Ronckers C.M. (57216820999),Madigan J. (25641325400),Fayosse A. (56878986300),Hang C. (7103123538),Chandrasekaran M. (21533470400),Johnson G.J. (25629734300),Dragano N. (13411221500)
Balasubramaniyan V. (6603265359),De Rochemont R.D.M. (6507581808),Jokela M. (16030844400),Debener S. (6601953065),Albers G.W. (26643607400),Ledermann S. (6603058496),Ni X. (55978930800),Hristova M. (22937760400),Goodchild G. (57191893591),Jokela M. (16030844400)
Mookerjee R.P. (6603672216),Cuadras P. (6603402940),Nyberg S.T. (16835278700),Kranczioch C. (15077752900),Goyal M. (34770191900),Rees L. (16146771300),Zhao J. (56637246400),Alonso-Alconada D. (35085901300),Zuckerbraun B. (6602739165),Nyberg S.T. (16835278700)
Andreola F. (7003637169),Yoo A.J. (6701827761),Salo P. (26030660800),Zich C. (55916575100),Heo J.H. (34869576000),Melhem N.Z. (56452850000),Li S. (57104123200),Fleiss B. (35784226800),Deutschman C.S. (7004159567),Salo P. (26030660800)
Pinzani M. (7005412715),Majoie C.B.L.M. (7003925999),Pejtersen J.H. (35238395500),Schweinitz C. (57188975295),Guillemin F. (34976591800),Howard L.M. (7202645145),Ye Z. (57189269051),Kelen D. (36196575500),Schumacker P.T. (7006797787),Pejtersen J.H. (35238395500)
Jalan R. (7005505892),Liebeskind D.S. (7004045734),Virtanen M. (35239241500),Williams A. (23007289500),Menon B.K. (35170495700),Moran P. (34571973600),Xiao X. (57217395548),Rocha-Ferreira E. (55110477100),Pinsky M.R. (7103213902),Virtanen M. (35239241500)
