AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
,O'Beirne J. (6701855309),,,,Tisdall M. (16242763100),Barrick T.R. (6602385701),Noon L.A. (6507235512),,Li D. (27168216000)
,Epstein O. (7005380928),,,,Marcus H.J. (16643089500),Thijs V. (6701393042),Burks D.J. (7004054762),,Li Y. (56021308100)
,Tsochatzis E. (16023392700),,,,Dawes W. (36643444100),Furie K.L. (6701547179),Galán Albiñana A. (7005682242),,Collins A. (56389180500)
,Hamilton M. (16180164500),,,,Aquilina K. (56255711900),Rosand J. (6701794559),Leal Tassias A. (35300011700),,Liadi M. (57202301551)
,Manousou P. (16744202500),,,,,Dichgans M. (7004050470),Acosta Umanzor C. (55308043200),,Forriol F. (7003392220)
,Theocharidou E. (37027349500),,,,,Sudlow C. (7004552277),Forteza Vila J. (56667307100),,Denaro V. (7004909863)
,Parisi I. (49061264100),,,,,Meschia J.F. (7006796705),Arámbul-Anthony M.J. (57205717572),,Vaquero J. (7103086266)
,Rossi R.E. (55198585100),,,,,Markus H.S. (7102054556),Borreda Gascó I. (57205723990),,Loppini M. (24802487100)
,Burroughs A.K. (56450243500),,,,,Lewis C.M. (7402975073),Manzano-Núñez F. (57205724637),,Khan W.S. (35229756200)
,Murray C. (57202223898),,,,,Boncoraglio G.B. (7801424407),Herrera A. (57205724854),,Longo U.G. (55308310300)
,Didangelos A. (26021114300),,,,,Radmanesh F. (23475032700),Peebles D. (7006889522),,Garcia D. (57191369588)
,Crow M. (55588675900),,,,,Lanfranconi S. (25632688900),Hristova M. (22937760400),,Phillips J. (9240949100)
,Denk F. (55766476900),,,,,Levi C. (26643279200),Raivich G. (35373101700),,Rahim A. (14045774100)
,McMahon S.B. (56741596500),,,,,Rost N. (35269850500),Rocha-Ferreira E. (55110477100),,Busuttil F. (56568214300)
,Lopes D.M. (56818632300),,,,,Wardlaw J. (35417533500),Thei L. (55338411600),,Bhangra K. (57189496597)
,,,,,,Rothwell P.M. (35417561900),Arvastson L. (6507923075),,Jessen K. (7101820405)
,,,,,,Adib-Samii P. (35769138900),Abelson K.S.P. (6602332511),,Mirsky R. (8707856500)
,,,,,,Cloonan L. (35797957800),Munro G. (22135271100),,Arthur-Farraj P. (14622301100)
,,,,,,Kanakis A. (35798426400),Hougaard P. (56265787600),,Udina E. (6506447298)
,,,,,,Fitzpatrick K. (36668502900),Hestehave S. (57192063781),,Phillips J.B. (9240949100)
,,,,,,Moynihan B. (36818693700),Pedersen T.B. (57194430526),,Cobianchi S. (13003004000)
,,,,,,Devan W.J. (37025752400),Christensen R. (57197795939),,Gonzalez-Perez F. (55537247200)
,,,,,,Traylor M. (55290620300),Batzloff M.R. (6602552086),,Heimann C. (55850094300)
,,,,,,Falcone G.J. (55327070000),Nizet V. (7003353710),,Navarro X. (56967786300)
,,,,,,Worrall B.B. (55663739400),Goldblatt D. (7102190212),,Hindocha S. (24279596600)
,,,,,,Zhang C.R. (56468213600),Silvestri G. (7102565280),,Akyol E. (57191372928)
,,,,,,Bevan S. (56533449400),Moyle P.M. (8280977800),,Haddad F.S. (7203033976)
,,,,,,Parsons O.E. (57057234400),Cork A.J. (14824736500),,Thangarajah T. (24466832300)
,,,,,,Lemmens R. (57201949690),Walker M.J. (34974875300),,Hexter A.T. (56091867300)
,,,,,,Gregory S. (57212994358),Carnathan D.G. (35075670600),,Blunn G. (57206307303)
,,,,,,,Rivera-Hernandez T. (39962426000),,Jell G. (8399784800)
,,,,,,,McCarthy J. (55649177700),,Smith O.J. (54881691700)
,,,,,,,Davies M.R. (55708710800),,Mosahebi A. (55985666400)
,,,,,,,Toth I. (57203775458),,Sadreyev R.I. (6603120719)
,,,,,,,Jones S. (57210246470),,Wagers A.J. (6603812845)
,,,,,,,Alferink J. (6603149596),,Tajbakhsh S. (7003283901)
,,,,,,,Ehring T. (6603589721),,Rudnicki M.A. (7102050259)
,,,,,,,Wijkhuijs A. (7801340241),,Ott H.C. (7202119047)
,,,,,,,Ambrée O. (8764118800),,Paisant S. (11140845500)
,,,,,,,Bellingrath S. (23767154900),,Di Stefano B. (25936065900)
,,,,,,,Ruland T. (55341940400),,Bar-Nur O. (26323127100)
,,,,,,,Carvalho L. (55440517500),,Hochedlinger K. (35600242700)
,,,,,,,Drexhage H. (55624007700),,Gerli M.F.M. (50261489800)
