Artificial Intelligence & Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering
A/B testing,Active site,Air-Gapped Network,Algorithm,Acceptance testing,Actuator,Active Pharmaceutical Ingredient,Active Immunity,Animal model
accuracy,Adenine,Antivirus,AngularJS,Adaptive maintenance,Assembly Robot,Antibody,Active Site,artificial cells
action,Agents,Best Practices,artificial intelligence,Algorithm,"Automatic Measurement Function
",Antigen,Addiction,artificial chromosomes
activation function,Agricultural biotechnology (AgBio),Black Hat,Backpropagation,Alpha testing,Automaton,Artemisinin,Adsorption,Artificial organ
active learning,Alignment,Blacklist,Bayes' Theorem,Beta testing,Autonomous vehicle,Autoimmune Disease,Adverse Drug Reaction,Bacterial artificial chromosome
AdaGrad,Allele,Botnet,Bayesian network,Bottom-up design,Bionics,Biobricks,Agonist,biobanking
agent,Alternative splicing,Casus Belli,Bias,Boundary testing,Cartesian-coordinate Robot,Bioeconomy,Allergic Response,biological specimen banks
agglomerative clustering,Alternative splice-form,Civilian Participation,Big Data,Bugs,Cloud robotics,Biofuel,Allergy,biorepository
AR,Alu family,Combatant Status,binomial distribution,Bytecode,Cobots,Biohacking,Allosteric modulator,biospecimen
area under the PR curve,Amino acid,Communications Privacy Law,chi-square test,Client,"Collaborative Robot
",Biologic,Analgesic,cell assays
area under the ROC curve,Analogy,Computer Emergency Response Team,Classification,Compiler,"Compliant Robot
",Biological Engineering,Anesthetic,cell chips
artificial general intelligence,Annotation,Computer Network Attack,Clustering,Concatenation,"Control Command
",Biomedical Engineering,Anesthetic,cell fusion
artificial intelligence,Anticodon,COTS Software,Coefficient,Corrective maintenance,Controller System,Biopharmaceutical,Antagonist,cell microarrays
attribute,Antigen,Credit Card Fraud,computational linguistics,COTS,Downtime,Bioreactor,Antibiotic,cell sorting
AUC (Area under the ROC Curve),Antisense,Crimeware,confidence interval,Data,End effector,Biosensor,Antibody,Cell therapy
augmented reality,Assay,Cyber Crime,continuous variable,Database,Feedback Control,Carlson Curve,Antibody Production,cell-based imaging
automation bias,Assembly,Cyber Security as an Externality,Correlation,Data modeling,Feedback sensor,Cell Culture,Bacteria,cellular engineering
average precision,Autoradiography,Cyber Security as a Public Good,Covariance,Debugging,Force Feedback,Cell Line,Bioassay,cellular imaging
backpropagation,Bacterial artificial chromosome,Cyber Terrorism,cross-validation,Declarative language,Forward Kinematic Solution,Cell Strain,Bioavailability,cellular models
bag of words,Bacteriophage,Cyber Warfare,D3,Desk checking,Forward Kinematics,Cell Therapy,Bioavailability,cellular reprogramming
baseline,Baculovirus,Data Mining,data engineer,Development team,Gantry,Chassis,Biological Equivalents,chromosome painting
batch,Base pair,Department of Homeland Security,data mining,Dry run,Gripper,Clinical Trial,Biologics,Chronic wound
batch normalization,Beta sheet,DDoS Attack,data science,Event driven,Haptic,Clone,Biopharmaceutics,Clinical practice
batch size,Bioinformatics,Digital Pearl Harbor,data structure,Event driven language,Humanoid,Codon,Bioreactor,Clinical translation
Bayesian neural network,Bivalent,Disclosure Policy,data wrangling,Exceptions testing,Industrial robot,Commodity Chemical,Biotech,Clinical trial
Bellman equation,Blunt-end (ligation),Distributed Denial of Service (DDoS),decision trees,Executable code,Intelligent robot,DNA,Biotransformation,cryobiology
bias (ethics/fairness),Carboxyl group,Dumpster Diving,deep learning,Exhaustive testing,Jacobian matrix,DNA Synthesis,Biotranslocation,cryonics
bias (math),cDNA,Einstein,dependent variable,Explicit declaration,Joint,Drug Delivery,Body weight,dielectrophoresis
bigram,cDNA library,Cybersecurity,dimension reduction, ,Joint Interpolated Motion,Drug Product,Capsule Banding,electron tomography
binary classification,Cell,Generativity,discrete variable,Feedback,Joint Motion Type,Engineering Biology,Carcinogenicity,flow cytometry
binning,Cell Cycle,Geneva Conventions,Econometrics,Fit for purpose,Joint Space,Fermentation,Central Nervous System,Gene therapy
boosting,Chimeric clone,Hacker,Feature,Function,Kinematics,Fermentor,Centrifuge,genotype tissue expression
bounding box,Chromat,Hacktivism,feature engineering,Functional language,Material Processing Robot,Food and Drug Administration,Chemical,human tissue engineered product
broadcasting,Chromatin,Hacktivist,GATE,Functional specification,Mirror Shift Function,Gene Drive,Chemical Equivalents,hybridoma
bucketing,Chromosome,Honeypot,gradient boosting,General purpose language,Motion Axis,Gene Expression,Chemotherapy,image cytometry
calibration layer,Clinical trials,Identity Fraud/Theft,gradient descent,High-level language,Nanobot,Gene Therapy,Cheng-Prusoff equation,immortalizing oncogene
candidate generation,Clone,Information Asymmetries,Histogram,Human computer interface,Offline programming,Genetic Engineering,Chromatography,immunohistochemistry
candidate sampling,Cloning,Intelligence Infrastructure/Information Infrastructure,independent variable,Implicit declaration,Optical Proximity Sensors,Genetically Modified Organism,Clearance,Laser Capture Microdissection
categorical data,Cluster,Information Operations,JavaScript,Independent test group,Path,Genome,Clinical Design,laser tweezers
centroid,Coding regions,Interdependencies,k-means clustering,Inheritance,PLC,Glycosylation,Clinical Equivalents,micellar nanocontainers
centroid-based clustering,Codon,International Humanitarian Law,k-nearest neighbors,Intermediate code,Programmable Logical Controller,Immunotherapy,Clinical Supply,microdissection
checkpoint,Combinatorial chemistry,Internet Relay Chat (IRC),latent variable,Internal commentary,Prosthetic,International Gene Synthesis Consortium,Clinical Therapeutic Index,microimaging
class,Complementary determining region,Internet Service Providers,Lift,Internal documentation,Revolute Joint,Kozak Sequence,Concentration response curve,micromanipulation
classification model,Complexity,Keylogger,linear algebra,Interpreter,Robot,Metabolite,Contamination,microspectrophotometry
classification threshold,Configuration,Kinetic Attack,linear regression,Iterative,Robot,Molecular targeted drug,Crystallisation,microtissues
class-imbalanced dataset,Conformation,Lawfare,Logarithm,Jackson Structured Programming,Robot Coordinate System,Mutant,Cytotoxic,nuclear transfer
clipping,Consensus sequence,Laws of War,logistic regression,Java,Robot Integrator,Nucleic Acids,Dealthcare,optical mapping
Cloud TPU,Constitutive synthesis (expression),Malware,machine learning,Keyword,Robot Programming Language,Oligonucleotide,Dentistry,optical trapping
