,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17,Misc
0,africa,agricultural,access to clean water,access to education,basic living standards,accessible water,affordable and clean energy,aid for trade,access to the internet,affordable housing,adaptable,capitalism,average global temperature,artisanal fishers,afforestation,abuse,capacity building,accountability
1,anti discrimination,agricultural orientation index,access to clean water and sanitation,basic education,dignity,affordable drinking water,affordable energy,banking,affordable access,age,adaptation,cars,carbon,biodiversity,agriculture,accountability,civil society partnerships,air pollution
2,asylum seeker,agricultural productivity,access to sanitation,basic literacy,disadvantaged,aquifer,alternative energy,child labour,affordable credit,ageism,affordable housing,circular economy,carbon capture,carbon dioxide,alien species,accountable institutions,communication technologies,alternative energy
3,basic services,agricultural sustainability,affordable medicines,basic literacy skills,discrimination,cities,animal waste,child soldiers,clean technologies,business,air pollution,commercial enterprises,carbon dioxide,coastal biodiversity,animal extinction,arbitrary detention,debt sustainability,biodiversity
4,class,agriculture,aids,cultural diversity,employment,clean drinking water,battery,creativity,communication technology,children,air quality,consumer levels,carbon dioxide capture,coastal ecosystems,animals,arms,development assistance,capacity building
5,developing countries,agriculture and sustainable,air contamination,disability,empower and women,clean water,carbon,creativity and innovation,communications technology,classism,arts and heritage,consumerism,carbon emissions,coastal habitats,arable land,arms trafficking,disaggregated data,carbon dioxide emissions
6,developing nations,consume,air pollution,disability and education,empower girls,contaminated,charcoal,culture,cooperation,culture,arts heritage,consumption,changing weather patterns,coastal parks,bees,birth registration,doha development agenda,carbon emissions
7,disadvantaged,crop,alcohol abuse,early childhood,empower women,defecation,clean energy,decent work,data banks,developing countries,cities,deep decarbonisation,climate,coastal resources,biodiversity,bribery,entrepreneurship,caring for country
8,economic equality,crop diversity,antenatal,early childhood development,empowering girls,desalination,clean energy technology,decent work for all,economic development,developing states,climate change,ecological,climate action,coastlines,biodiversity conservation,combat terrorism,environmentally sound technologies,co2 emissions
9,economic resources,crop yield,antenatal care,educating refugees,empowering women,diarrhoeal diseases,clean fuel,development oriented policy,electrical power,development assistance,community,efficient use of resources,climate adaptation,conserve,biodiversity loss,conflict resolution,foreign direct investments,developing countries
10,end poverty,crops,antiretroviral,education,empowerment,drought,clean fuel technology,economic growth,energy,disabilities,cultural heritage,energy,climate and gender,conserve oceans,conservation,conflicts,fostering innovation,disability
11,environment,doha development round,antiretroviral therapy,education equality,empowerment and women,dumping,clean fuels,economic productivity,enterprises,disability,decentralisation,energy consumption,climate and infectious disease,coral bleaching,deforestation,corruption,free trade,eco tourism
12,equality,doha round,biomedical,education for sustainability,empowerment of women,ecosystem protection,cleaner fossil fuel technology,economy,environmentally sound technologies,discrimination,development planning,energy efficiency,climate and politics,coral reef,desertification,discrimination,fundamental principles of official statistics,ecology
13,extreme poverty,end hunger,bodily autonomy,education in developing,equal access,ecosystem restoration,climate goal,enterprises,financial services,discriminatory,disaster management,energy use,climate change,ecosystem management,drought,education,global partnership,ecotourism
14,financial inclusion,environment,child deaths,education in developing countries,equal opportunities,equitable sanitation,coal,entrepreneurship,foster innovation,economy,disaster risk reduction,fast fashion,climate change and gender,fish species,drylands,enforced disappearance,global partnership for sustainable development,energy efficiency
15,income,farming,contraceptive use,enrolment,equality,floods,efficient energy,equal pay,ict infrastructure,education,disaster strategy,food,climate change management,fish stock,ecosystem,equal access,global stability,environment
16,income equality,food,death rate,equal access,exploit women,fresh water,electricity,finance,industrial development,empower,disasters,food losses,climate change planning,fish stocks,ecosystem restoration,equity,housing census,environmental
17,microfinance,food gap,dental,equal education,exploitation,freshwater,electricity infrastructure,financial services,industrial diversification,equal opportunity,fine particulate matter,food supply,climate change policy,fish stocks and fisheries management,ecosystems,exploitation,international aid,environmental degradation
18,non discrimination,food poverty,disability,equitable education,exploitation and girls,harvesting water,emissions,forced labour,industrialisation,equal pay,green spaces,food waste,climate early warning,fisheries,extinct,flow of arms,international cooperation,environmental policy
19,nondiscrimination,food producers,disability and family support,gender disparities in education,exploitation and women,hydropower,energy,gdp growth,industry value chain,equality,heritage,fossil fuel,climate hazards,fisheries management,extinct species,freedom,international population,environmental sustainability
20,poor,food production,disability and inclusion,gender disparity,exploitation of women,hygiene,energy efficiency,global resource efficiency,information and communication technology,equity,heritage arts,fossil fuel subsidies,climate impact,fishers,extinction,geography of poverty,international population and housing census,equal rights to economic resources
