SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17,Misc
Africa,Agricultural Orientation index,Access to clean water and sanitation,Access to education,Basic living standards,Accessible water,Affordable energy,Aid for trade,Access to the internet,Affordable housing,Adaptable,Capitalism,Average global temperature,Artisanal fishers,Afforestation,Abuse,Capacity building,Accountability
Basic services,Agricultural productivity,Affordable medicines,Basic education,Dignity,Affordable drinking water,Alternative energy,Banking,Affordable access,Age,Adaptation,Cars,Carbon,Biodiversity,Agriculture,Accountability,Civil society partnerships,Air pollution
Class,Agriculture,AIDS,Basic literacy,Disadvantaged,Aquifer,Animal waste,Child labour,Affordable credit,Ageism,Affordable housing,Circular economy,Carbon dioxide,Carbon dioxide,Animals,Accountable institutions,Communication technologies,Alternative energy
Developing countries,Consume,Air contamination,Basic literacy skills,Discrimination,Cities,Battery,Child soldiers,Clean technologies,Business,Air pollution,Commercial enterprises,Changing weather patterns,Coastal biodiversity,Arable land,Arbitrary detention,Debt sustainability,Biodiversity
Disadvantaged,Crop diversity,Air pollution,Cultural diversity,Employment,Clean water,Carbon,Creativity and innovation,Cooperation,Children,Air quality,Consumer levels,Climate,Coastal ecosystems,Bees,Arms,Development assistance,Capacity building
Economic resources,Crops,Alcohol abuse,Disability,Empower girls,Contaminated,Charcoal,Culture,Data banks,Culture,Cities,Consumerism,Climate action,Coastal habitats,Biodiversity,Arms trafficking,Disaggregated data,Caring for country
End poverty,Doha Development Round,Antenatal care,Disability and education,Empower women,Defecation,Clean energy,Decent work,Economic development,Developing countries,Climate change,Consumption,Climate adaptation,Coastal parks,Biodiversity loss,Birth registration,Doha Development Agenda,CO2 emissions
Environment,Doha Round,Antiretroviral,Early childhood,Empowerment,Desalination,Clean energy technology,Decent work for all,Electrical power,Developing states,Community,Deep decarbonisation,Climate and gender,Coastal resources,Conservation,Bribery,Entrepreneurship,Developing countries
Equality,End hunger,Antiretroviral therapy,Early childhood development,Empowerment of women,Diarrhoeal diseases,Clean fuel technology,Development oriented policy,Energy,Development assistance,Cultural heritage,Ecological,Climate and infectious disease,Coastlines,Deforestation,Combat terrorism,Environmentally sound technologies,Disability
Extreme poverty,Environment,Biomedical,Education,Equal access,Drought,Clean fuels,Economic growth,Enterprises,Disabilities,Decentralisation,Efficient use of resources,Climate and politics,Conserve,Desertification,Conflict resolution,Foreign direct investments,Eco tourism
Financial inclusion,Food,Bodily autonomy,Education for sustainability,Equal opportunities,Dumping,Cleaner fossil fuel technology,Economic productivity,Environmentally sound technologies,Discrimination,Development planning,Energy,Climate change,Conserve oceans,Drought,Conflicts,Fostering innovation,Ecology
Income,Food gap,Child deaths,Education in developing,Equality,Ecosystem protection,Climate goal,Economy,Financial services,Discriminatory,Disaster management,Energy consumption,Climate change management,Coral bleaching,Drylands,Corruption,Free trade,Energy efficiency
Income equality,Food production,Contraceptive use,Enrolment,Exploitation,Ecosystem restoration,Coal,Enterprises,ICT infrastructure,Economy,Disaster risk reduction,Energy efficiency,Climate change planning,Coral reef,Ecosystem,Discrimination,Fundamental principles of official statistics,Environment
Microfinance,Food reserves,Death rate,Equal access,Female genital mutilation,Equitable sanitation,Electricity,Entrepreneurship,Industrial diversification,Education,Disaster Strategy,Energy use,Climate change policy,Ecosystem management,Ecosystem restoration,Education,Global partnership,Environmental
Non discrimination,Food Security,Dental,Equal education,Feminism,Floods,Electricity infrastructure,Equal pay,Industrialisation,Empower,Disasters,Food,Climate early warning,Fish species,Ecosystems,Enforced disappearance,Global partnership for sustainable development,Environmental degradation
Poor,Genetic diversity,Disability and family support,Equitable education,Forced marriage,Fresh water,Emissions,Finance,Information and communication technology,Equal opportunity,Fine particulate matter,Food losses,Climate hazards,Fish stocks,Extinct,Equal access,Global stability,Environmental policy
Poor and vulnerable,Genetic diversity of seeds,Disability and inclusion,Gender disparities in education,Gender,Hydropower,Energy,Financial services,Infrastructure,Equality,Green spaces,Food supply,Climate impact,Fish stocks and fisheries management,Extinct species,Equity,International aid,Environmental sustainability
Poverty,Genetics,Disability and politics of location,Gender disparity,Gender discrimination,Hygiene,Energy efficiency,Forced labour,Innovation,Equity,Heritage,Food waste,Climate mitigation,Fisheries,Extinction,Exploitation,International cooperation,Equal rights to economic resources
Poverty eradication,Hunger,Diseases,Gender equality,Gender equality,Improving water,Energy infrastructure,GDP growth,Internet access,Ethnicity,Housing,Fossil fuel subsidies,Climate refugees,Fishers,Forest,Flow of arms,International population and housing census,Ethical
Poverty line,Hungry people,Family planning,Gender equity,Gender parity,Inadequate water,Energy research,Global resource efficiency,Irrigation,Financial assistance,Human settlements,Future proof,Climate related hazards,Fishing,Forest management,Freedom,International support,Food energy water nexus
