SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
Asylum seeker,Agricultural ,Alcohol abuse,Access to education,Empower AND women,Aquifer,Affordable energy,Child labour,Clean technologies,Ageism,Air pollution,Circular economy,Carbon emissions ,Coastlines,Afforestation,Accountable institutions,Civil society partnerships
Basic services,Agriculture AND sustainable,Antenatal ,Basic education,Empower girls,Contaminated,Alternative energy,Child soldiers,Communications technology ,Classism ,Air quality,Consumer levels,Climate action,Conserve oceans,Alien species,Arbitrary detention,Development assistance
Developing countries,Crop,Child deaths,Early childhood development,Empowering girls,Defecation,Clean energy,Decent work,Data banks,Culture,Arts AND heritage,Consumerism,Climate adaptation,Coral bleaching,Biodiversity,Arms trafficking,Doha Development Agenda
Disadvantaged,Crop diversity,Contraceptive use,Education for sustainability,Empowering women,Desalination,Clean energy technology,Development oriented policy,Enterprises,Development assistance,Cultural heritage,Efficient use of resources,Climate change planning,Coral reef,Biodiversity Conservation,Birth registration,Foreign direct investments
Financial inclusion,Crops,Death rate,Education in developing countries,Empowerment AND women,Diarrhoeal diseases,Clean fuel,Economic growth,Environmentally sound technologies,Disabilities,Decentralisation,Energy consumption,Climate change policy,Fish species,Deforestation,Bribery,Free trade
Income Equality ,Doha Round,Disability,Equal education,Exploitation AND girls ,Fresh water,Clean fuel technology,Economic productivity,Financial services,disability,Development planning,Energy efficiency,Climate early warning,fish stock,Desertification,Combat terrorism,Global partnership
Microfinance,Farming,Family planning,Equitable education,Exploitation AND women ,Hydropower,Clean fuels,Entrepreneurship,Foster innovation ,Discrimination,Disaster management,Energy use,Climate hazards,Fish stocks,Drylands,Conflict resolution,Global stability
Non discrimination,Food gap ,Immunisation ,Gender disparities in education,Female genital mutilation,Hygiene,Energy efficiency,Equal pay,Industrial diversification,Equal opportunity,Disaster risk reduction,Fast fashion ,Climate impact,Fisheries,Ecosystem restoration ,Corruption ,International aid
Poverty,Food poverty,Malaria,Global education,Feminism,Irrigation,Fossil Fuel,Financial services,Industrialisation,Equal pay ,Disaster Strategy,Food losses,Climate mitigation,fishery,Extinct,Enforced disappearance,International cooperation
Refugee,Food production,Mental health,Learning opportunities,Forced marriage,River basins,Green economy,Forced labour,Information and communication technology,Ethnicity,Fine particulate matter,Food supply,Climate refugees,Fishing practices,Forest management,Hate crime,International population 
