Artificial Intelligence & Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering
A/B testing,Active site,Air-Gapped Network,Algorithm,Acceptance testing
accuracy,Adenine,Antivirus,AngularJS,Adaptive maintenance
action,Agents,Best Practices,artificial intelligence,Algorithm
activation function,Agricultural biotechnology (AgBio),Black Hat,Backpropagation,Alpha testing
active learning,Alignment,Blacklist,Bayes' Theorem,Beta testing
AdaGrad,Allele,Botnet,Bayesian network,Bottom-up design
agent,Alternative splicing,Casus Belli,Bias,Boundary testing
agglomerative clustering,Alternative splice-form,Civilian Participation,Big Data,Bugs
AR,Alu family,Combatant Status,binomial distribution,Bytecode
area under the PR curve,Amino acid,Communications Privacy Law,chi-square test,Client
area under the ROC curve,Analogy,Computer Emergency Response Team,Classification,Compiler
artificial general intelligence,Annotation,Computer Network Attack,Clustering,Concatenation
artificial intelligence,Anticodon,COTS Software,Coefficient,Corrective maintenance
attribute,Antigen,Credit Card Fraud,computational linguistics,COTS
AUC (Area under the ROC Curve),Antisense,Crimeware,confidence interval,Data
augmented reality,Assay,Cyber Crime,continuous variable,Database
automation bias,Assembly,Cyber Security as an Externality,Correlation,Data modeling
average precision,Autoradiography,Cyber Security as a Public Good,Covariance,Debugging
backpropagation,Bacterial artificial chromosome,Cyber Terrorism,cross-validation,Declarative language
bag of words,Bacteriophage,Cyber Warfare,D3,Desk checking
baseline,Baculovirus,Data Mining,data engineer,Development team
batch,Base pair,Department of Homeland Security,data mining,Dry run
batch normalization,Beta sheet,DDoS Attack,data science,Event driven
batch size,Bioinformatics,Digital Pearl Harbor,data structure,Event driven language
Bayesian neural network,Bivalent,Disclosure Policy,data wrangling,Exceptions testing
Bellman equation,Blunt-end (ligation),Distributed Denial of Service (DDoS),decision trees,Executable code
bias (ethics/fairness),Carboxyl group,Dumpster Diving,deep learning,Exhaustive testing
bias (math),cDNA,Einstein,dependent variable,Explicit declaration
bigram,cDNA library,E.U. Cybersecurity,dimension reduction, 
binary classification,Cell,Generativity,discrete variable,Feedback
binning,Cell Cycle,Geneva Conventions,Econometrics,Fit for purpose
boosting,Chimeric clone,Hacker,Feature,Function
