SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17,Misc
africa,agricultural,access to clean water,access to education,basic living standards,accessible water,affordable and clean energy,aid for trade,access to the internet,affordable housing,adaptable,capitalism,average global temperature,artisanal fishers,afforestation,abuse,capacity building,accountability
anti discrimination,agricultural orientation index,access to clean water and sanitation,basic education,dignity,affordable drinking water,affordable energy,banking,affordable access,age,adaptation,cars,carbon,biodiversity,agriculture,accountability,civil society partnerships,air pollution
asylum seeker,agricultural productivity,access to sanitation,basic literacy,disadvantaged,aquifer,alternative energy,child labour,affordable credit,ageism,affordable housing,circular economy,carbon capture,carbon dioxide,alien species,accountable institutions,communication technologies,alternative energy
basic services,agricultural sustainability,affordable medicines,basic literacy skills,discrimination,cities,animal waste,child soldiers,clean technologies,business,air pollution,commercial enterprises,carbon dioxide,coastal biodiversity,animal extinction,arbitrary detention,debt sustainability,biodiversity
class,agriculture,aids,cultural diversity,employment,clean drinking water,battery,creativity,communication technology,children,air quality,consumer levels,carbon dioxide capture,coastal ecosystems,animals,arms,development assistance,capacity building
developing countries,agriculture and sustainable,air contamination,disability,empower and women,clean water,carbon,creativity and innovation,communications technology,classism,arts and heritage,consumerism,carbon emissions,coastal habitats,arable land,arms trafficking,disaggregated data,carbon dioxide emissions
developing nations,consume,air pollution,disability and education,empower girls,contaminated,charcoal,culture,cooperation,culture,arts heritage,consumption,changing weather patterns,coastal parks,bees,birth registration,doha development agenda,carbon emissions
disadvantaged,crop,alcohol abuse,early childhood,empower women,defecation,clean energy,decent work,data banks,developing countries,cities,deep decarbonisation,climate,coastal resources,biodiversity,bribery,entrepreneurship,caring for country
economic equality,crop diversity,antenatal,early childhood development,empowering girls,desalination,clean energy technology,decent work for all,economic development,developing states,climate change,ecological,climate action,coastlines,biodiversity conservation,combat terrorism,environmentally sound technologies,co2 emissions
economic resources,crop yield,antenatal care,educating refugees,empowering women,diarrhoeal diseases,clean fuel,development oriented policy,electrical power,development assistance,community,efficient use of resources,climate adaptation,conserve,biodiversity loss,conflict resolution,foreign direct investments,developing countries
end poverty,crops,antiretroviral,education,empowerment,drought,clean fuel technology,economic growth,energy,disabilities,cultural heritage,energy,climate and gender,conserve oceans,conservation,conflicts,fostering innovation,disability
