AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
Batty M.(7005713858),Captur G.(6506837383),,,Aggarwal R.(8616911800),Oddy M.J.(57057403700),Marsh S.(55942654100),Vekemans J.(7003555847),,
Bayvel P.(7005053644),Deanfield J.(7004333788),,,Gurusamy K.(16301178800),Kim E.(57191070612),Flake A.(7005368111),Abdullah F.(7004710599),,
Liga G.(56114715000),Moon J.C.(7403231345),,,D'Souza N.(25654689000),Haddad F.S.(7203033976),MacKenzie T.(7005444129),Ginsberg A.M.(7006372530),,
Czegledi C.(56373498400),Stables R.H.(55384131000),,,Hashimoto D.A.(55029426400),Worrell J.(7006255182),David A.(7402605276),Lewinsohn D.M.(23469509300),,
,Kehoe D.(57194513657),,,Fisher J.(7404016774),Haase C.(35090201500),Almeida-Porada G.(35550521300),Laang H.(26029877100),,
,Fitzgerald F.(55750371200),,,Lorgelly P.(14038950500),Ouaknine J.(55916575900),Schacter B.(7004468128),Olesen O.F.(35739159500),,
,Harris K.A.(56234893300),,,Wynter K.(24578160000),Rot J.(55305790900),Kozlakidis Z.(14632176900),Loots G.(55245884900),,
,Patel A.(57195063764),,,Rowe H.(35293556100),Bergeles C.(26422797000),Vaught J.(35593102500),Hanekom W.A.(57203977065),,
,Mittnacht S.(7004079282),,,Tran T.(37040900900),Yang G.(55539304100),Gao D.(57190800713),Schmidt A.(57209466245),,
,Huang P.H.(16042808200),,,Ride J.(56382960600),Leibrandt K.(56001386300),,Coppens R.(57209471487),,
,Cook R.(52563315100),,,Bakkenes M.(7801529646),,,Gardner P.J.(57209473289),,
,Niederberger C.(7004033575),,,Joppa L.(23566616300),,,Voss G.H.(57216140513),,
,Sangster P.(14029175800),,,Visconti P.(26647965400),,,Malik G.(52264048600),,
,Raheem A.(35094435700),,,Smith R.J.(55509629100),,,Smith P.(55566029500),,
,De Luca F.(56888430600),,,Sykes R.E.(56517745500),,,Flower M.(56014309400),,
,Johnson M.(57194855195),,,Al Mansour M.(6603280181),,,Fung W.(56549596900),,
,Moubasher A.(57197806882),,,Costi U.(6603833179),,,Ramaiya K.(6603221534),,
,Ralph D.J.(57203079224),,,Valabrega S.(6603843223),,,Motala A.(7003996255),,
,Mohammadi B.(57203779758),,,Izzo L.(7006822710),,,Unwin N.(7005647981),,
,Poselay S.(57203780957),,,Di Cello P.(24470853200),,,Gale E.(7102330202),,
,Zainal Y.(57203781766),,,Izzo P.(35993923600),,,Wild S.(7103086309),,
,Johnson T.F.(57203791860),,,Izzo S.(37070525200),,,Yudkin J.S.(24728579800),,
,De Luca M.(57210314970),,,Pugliese F.(55516793200),,,de Courten M.(55747964200),,
,Muneer A.(57220427621),,,Grande R.(55792098900),,,Tesfaye S.(56276747500),,
,Pinheiro V.(12774570400),,,Biancucci F.(57191574655),,,Gill G.(57203183880),,
,Renders M.(15844245200),,,Razionale F.(57192382352),,,Illing R.(15754175900),,
,,,,Muneer A.(57192384121),,,Bandula S.(35775945600),,
,,,,Sinaimeri G.(57208122471),,,Von Stempel C.(55682302100),,
,,,,Thaung C.(6602525615),,,Johnston E.W.(56053957500),,
,,,,Da Cruz L.(6701376895),,,Singh S.(57183312200),,
,,,,Simunovic M.P.(7004162305),,,Howorka S.(8389134100),,
,,,,Egan C.(8101026700),,,Gevers E.F.(6603682169),,
,,,,Sagoo M.S.(57203054292),,,Dattani M.T.(7003534902),,
,,,,Martin K.(7402550598),,,Fisher D.A.(35475632400),,
,,,,Schröder S.(56385139100),,,Gillmore J.(7003539031),,
,,,,Aoustin M.(6506465760),,,Fontana M.(16306839900),,
,,,,Domy P.(6506478068),,,Hawkins P.(35464959200),,
,,,,Heve D.(6507726097),,,Kotecha T.(38661453500),,
,,,,Viollet E.(6508109949),,,Martinez-Naharro A.(55343433500),,
,,,,Boubakri C.(6508324061),,,Harrison P.(7401612553),,
,,,,Ninot G.(6602722041),,,Hart S.(57203103916),,
,,,,Laffont I.(6603853795),,,Smith G.M.(7406734845),,
,,,,Granier S.(6603951611),,,Tosolini A.P.(54404094400),,
,,,,Lapierre M.(6701521080),,,Madhi S.A.(7003343959),,
,,,,Delignières D.(6701600210),,,Goldblatt D.(7102190212),,
,,,,Jonquet O.(7004126987),,,,,
,,,,Pélissier J.(7004443187),,,,,
,,,,Combe B.(7005496707),,,,,
,,,,Verdier J.(7005758811),,,,,
,,,,Robine J.(7006739981),,,,,
,,,,Bringer J.(7007056886),,,,,
,,,,Jeandel C.(7103078963),,,,,
,,,,Torre K.(9735358800),,,,,
,,,,de la Coussaye J.(14007443100),,,,,
,,,,Akbaraly T.(15070433300),,,,,
,,,,Blain H.(16687865700),,,,,
,,,,Stephan Y.(23398629100),,,,,
,,,,Royère E.(35285757400),,,,,
,,,,Perrey S.(35419591200),,,,,
,,,,Mandrick K.(37056241900),,,,,
,,,,Burille J.(53872397400),,,,,
,,,,Baptista G.(55154901300),,,,,
,,,,Bousquet J.(55156315400),,,,,
,,,,Amouyal M.(55193947400),,,,,
,,,,Bedbrook A.(55253648100),,,,,
,,,,Bernard P.(55419297500),,,,,
,,,,Tallon G.(55503162600),,,,,
,,,,Mercier J.(55574349600),,,,,
,,,,Morel J.(55577354700),,,,,
,,,,Camuzat T.(55614415100),,,,,
,,,,Dupeyron A.(55881160100),,,,,
,,,,Ramdani S.(55910112100),,,,,
,,,,Lognos B.(55957182000),,,,,
,,,,Léglise M.(56076771100),,,,,
,,,,Strubel D.(56277883800),,,,,
,,,,Picot M.(56461006900),,,,,
,,,,Laurent C.(56463563000),,,,,
,,,,Pinto N.(56463662500),,,,,
