AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering & Regenerative Medicine
Kostakos V. (6508135447),Pett S. (7004714193),Caire G. (7004399543),Treleaven P. (7003613959),Langdon W.B. (8724450500),Hailes S. (6602657397),Marsh S. (55942654100),Vekemans J. (7003555847),Rega F. (6602268848)
Qin A.K. (7004084538),Cooke G.S. (57199371710),Xiao C. (7202240414),Engin Z. (24479357200),Stamatakis A. (6602125055),Vasconcelos F. (47862298300),Coulter L.J. (6603895290),Abdullah F. (7004710599),Famaey N. (24780421600)
Salim F.D. (7801420000),Ryder S. (57202647273),Gao X. (7403872378), (null),Flouri T. (35203239100),Dwyer G. (56742945400),Kopf M. (7004312740),Ginsberg A.M. (7006372530),Verbrugghe P. (35312801000)
Liono J. (36809919900),van den Bree M.B.M. (6701851503),Wong K. (7404759940),Nicodemus K.K. (6602563331),Darriba D. (37088309000),Pachtrachai K. (57192424135),McInnes C.J. (7006495779),Lewinsohn D.M. (23469509300),Verbelen T. (36174559500)
Van Berkel N. (56032304300),Skuse D. (7004857206),Khisti A. (8337591400),Wolpert M. (6701596440),Krouglov A. (53563800100),Stoyanov D. (57203105770),Mercer J. (14121881600),Laang H. (26029877100),Vander Sloten J. (56235308700)
Ourselin S. (6602233595),Hall J. (22034087100),Wu Y. (55767262500),Sudlow C. (7004552277),Mayfield K. (57221935590),Czabarka É. (6602348154),Greber U.F. (35554733800),Olesen O.F. (35739159500),Fehervary H. (56734498000)
Vercauteren T. (23010613000),Chawner S.J.R.A. (57028520000),Sapiro G. (7005450011),Hotopf M. (7006045579),Harman M. (7006379048),Rauh J. (35485623700),Schneider C. (35571132400),Loots G. (55245884900),Treasure T. (57196678944)
Wang G. (55682589900),Holmans P. (57172024600),Qiu Q. (54956074400),Lawrie S.M. (7006525184),Tang K. (35389743100),Sadeghi K. (55195221000),Yakimovich A. (55357165600),Hanekom W.A. (57203977065),Vastmans J. (57197768595)
Li W. (55823995400),Owen M.J. (57213730511),Sokolić J. (57038643100),Porteous D.J. (7006940003),Jiang H. (35503225000),Short T. (57189996979),Huttunen M. (55841162600),Schmidt A. (57209466245),Vanderveken E. (57197775353)
Julier S. (7003972937),Raymond F.L. (57216044821),Rodrigues M.R.D. (57210526627),John A. (7102501082),Petke J. (36615643200),Székely L. (57210649490),Gould V. (57195471560),Coppens R. (57209471487),Bird J. (7202877812)
Srivastava M. (35599699800),Andreasson U. (6507790467),Sasse M.A. (7003530277),Smith D.J. (24469036100),Barr E. (7005643860),Nandi D. (7005763096),Zehnder B. (57196478755),Gardner P.J. (57209473289),Birchall M.A. (7004957785)
Alzantot M. (55322834800),Maler J. (6601977908),Herley C. (7003810144),Kingdon D. (26642928100),Bird C. (17433640400),Darzi A. (14633357600),Al-Ejeh F. (6504391249),Voss G.H. (57216140513),Mehrban N. (36677771600)
Widdicombe A. (57204013873),Brinkmalm G. (6602971570),Vaniea K. (23037455300),Stewart R. (35594617600),Allamanis M. (39361040300),Marcus H.J. (16643089500),Brucker S.Y. (6505786944),Dull P.M. (6602149185),Teoh G.Z. (56519758300)
Ferraro A. (7005220927),Zetterberg H. (6701454676),Lipford H. (25926003900),Russ T.C. (36667256000),Hellendoorn V. (57021723600),Yang G.Z. (55539304100),Bojesen S.E. (6506527936),Ngwira B. (6602904261),Rahimi G. (6602850978)
