AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
activation function,Amino acid,access control,bag of words,Agile development,Actuator,Active Pharmaceutical Ingredient,Active Immunity,artificial cells,Tissue engineering
active learning,Anticodon,Admin privilege,Bayes Theorem,Agile methods,Agent Based Systems,Antibody,Active Site,artificial chromosomes,Cell transplantation
agglomerative clustering,Antigen,Antivirus,Bayesian network,Alpha testing,Agricultural Automation,Antigen,Adverse Drug Reaction,Artificial organ,Artificial organs
artificial general intelligence,Bioinformatics,Antivirus software,Behavioural analytics,Anti patterns,Assembly Robot,Artemisinin,Agonist,Bacterial artificial chromosome,Bioartificial organs
artificial intelligence,Carboxyl group,Asymmetric encryption,Big data,Apache Subversion,Automaton,Autoimmune Disease,Allergic Response,biobanking,tissue components
augmented reality,cDNA,Authenticated encryption,bigram,Automated program repair,Autonomous Agents,Biobricks,Allergy,biological specimen banks,Noncellular components
backpropagation,Chromatin,Backdoor,data analysis,Beta testing,Autonomous systems,Bioeconomy,Allosteric modulator,biorepository,tissue procurement
Bayesian neural network,Chromosome,block cipher,Data analyst,Bytecode,Autonomous Technology,Biofuel,Analgesic,biospecimen,Clinical trials
binary classification,Codon,Botnet,Data analytics,Class diagram,Autonomous vehicle,Biohacking,Anesthetic,cell assays,Allogeneic
bounding box,Cytoplasm,Browser fingerprinting,data augmentation,Code bug,Autonomous Vehicle Navigation,Biologic,Antibiotic,cell chips,Allograft
calibration layer,Cytosine,Brute force attack,data engineer,Code documentation,Bionics,Biological Engineering,Antibody,cell fusion,Apoptosis
classification model,Deoxyribonuclease,Catfishing,Data governance,Code refactoring,Cartesian coordinate Robot,Biomedical Engineering,Antibody Production,cell microarrays,Autograft
confusion matrix,deoxyribonucleic acid,Cipher,Data lake,Code smells,Climbing Robots,Biopharmaceutical,Bacteria,cell sorting,Autologous
convolutional filter,DNA,ciphertext,Data mining,Code style,Cloud robotics,Bioreactor,Bioassay,Cell therapy,Bioaesthetics
convolutional layer,DNA fingerprinting,Clickjacking,Data modeling,Data modeling,Cobots,Biosensor,Bioavailability,cell-based imaging,Cancer vaccine
convolutional neural network,DNA polymerase,Cloud security,Data pool,Database management system,Cognitive Control Architectures,Carlson Curve,Biologics,cellular engineering,Cell based medicinal product
decision tree,DNA sequencing,Computer Network Attack,data science,Debugging,Cognitive Modeling,Cell Culture,Biopharmaceutics,cellular imaging,Cell culture
deep neural network,Enzyme,Computer virus,Data Set,Delta debugging,Collaborative Robot,Cell Line,Bioreactor,cellular models,Cell therapy
dimension reduction,Gel electrophoresis,Computer worm,Data visualization,Design patterns,Collision Avoidance,Cell Strain,Biotech,cellular reprogramming,Cloning
DQN,Gene expression,Credit Card Fraud,Data Warehouse,Docker,"Compliant Robot
",Cell Therapy,Biotransformation,cryobiology,Cosmesis
empirical risk minimization,Genetic engineering,Crimeware,Data wrangling,Event driven language,Controlled robot,Chassis,Biotranslocation,cryonics,Drug substance
epsilon greedy policy,Genotype,Crypojacking,dataset,Executable code,Controlled robot dynamics,Clinical Trial,Body weight,flow cytometry,Ex vivo
exploding gradient problem,Guanine,cryptographic system,Deep Learning,Explicit declaration,Cyborgs,Codon,Carcinogenicity,genotype tissue expression,extracorporeal
false negative,Immunoglobulin,Cryptography,divisive clustering,Firebase,Cylindrical coordinate Robot,DNA,Central Nervous System,human tissue engineered product,Gene therapy
false positive,Meiosis,Cryptosystem,feature engineering,Full stack developer,Developmental Robotics,DNA Synthesis,Chemotherapy,hybridoma,Genotype
feature engineering,Messenger RNA,Cyber Crime,feature extraction,Git,Domestic Robotics,Drug Delivery,Cheng-Prusoff equation,image cytometry,Heterologous use
feature extraction,Mitosis,Cyber security,feature set,Github,Downtime,Drug Product,Chromatography,immortalizing oncogene,Heterotopic
feature set,mRNA,Cyber Terrorism,feature vector,Haskell,Embodied Cognitive Science,Engineering Biology,Clinical Design,immunohistochemistry,Homologous use
feature vector,Mutagen,Cyber Warfare,Hadoop,High level language,End effector,Fermentation,Clinical Supply,Laser Capture Microdissection,Homotopic
federated learning,Nuclease,cyberattack,imbalanced dataset,Human computer interface,Epigenetic Robotics,Fermentor,Clinical Therapeutic Index,laser tweezers,In vitro
feedforward neural network,Peptide,cyberespionage,Machine learning engineer,IDE,Evolutionary Robotics,Gene Drive,Concentration response curve,microdissection,In vivo
FFN,Peptide bond,Cybersecurity,machine learning model,Implicit declaration,Factory Automation,Gene Expression,Contamination,microimaging,Informed consent
fully connected layer,Polymerase chain reaction,data breach,Markov Chain,Independent testing,Field Robots,Gene Therapy,Dealthcare,micromanipulation,Intermediate
GAN,rDNA,Data encryption,matplotlib,Intermediate code,Force Feedback,Genetic Engineering,Dentistry,microtissues,Minimal manipulation
generative adversarial network,restriction endonuclease,Data protection,naive Bayes classifier,Interpreter,Forward Kinematic Solution,Genetically Modified Organism,Desensitization,nuclear transfer,Necrosis
gradient descent,Restriction enzyme,DDoS Attack,neural network,Jackson Structured Programming,Forward Kinematics,Genome,Dissolution Time,optical trapping,organ
hyperparameter,RNA,Decipher,PageRank,Java,Gripper,Glycosylation,DNA,optical tweezers,Passage
input layer,Transfer RNA,Denial of service,pivot table,JavaScript,Haptic feedback,Immunotherapy,DNA Sequence,organotypic,Passage number
Kernel Support Vector Machines,tRNA,Diffie Hellman key exchange,posterior distribution,JUnit,Human centered Automation,Kozak Sequence,Dose,organotypic models,Phenotype
latent dirichlet allocation,,digital forensics,predictive analytics,Machine code,Human centered Robotics,Metabolite,Dose-Duration Curve,plasmid,Plating efficiency
learning rate,,Digital signatures,predictive modeling,Module library,Human robot,Molecular targeted drug,Drug Delivery,Regenerative medicine,Population doubling
LSTM,,Distributed Denial of Service,Predictive Modelling,Mutation testing,Humanoid,Nucleic Acids,Electrophoresis,Scar tissue,Products
machine learning,,DOS,preprocessing,NoSQL,Humanoid Robot Systems,,Emergency Medicine,single cell analysis,Regen
model training,,Encipher,Prior distribution,Object oriented design,Industrial robot,,Endocrinology,site-directed mutagenesis,Regenerative medicine
multinomial classification,,Encrypted web traffic,Reinforcement learning,Object-oriented language,Intelligent robot,,Enzyme,small intestinal submucosa,Reproductive cloning
natural language processing,,Encryption,supervised learning,Pair programming,Intelligent systems,,Ethical Pharmaceutical,Stem cell,Seeding density
natural language understanding,,Fileless Malware,support vector machine,Penetration testing,Intelligent Transportation Systems,,Food and Drug Administration,synthetic lethal screening,Senescence
neural network,,firewall,Test set,Portable code,Inverse kinematics,,Gene,tissue array analysis,Substantial manipulation
Output layer,,Firmware,Training set,Portable software,Jacobian matrix,,Gene Expression,tissue banking,Syngeneic
overfitting,,Forward secrecy,trigram,Procedural language,Joint,,Gene Therapy,tissue chips,Therapeutic cloning
perceptron,,Hacker,Unstructured data,Program analysis,Joint Interpolated Motion,,Generic Drugs,tissue engineering ,Therapy
pre-trained model,,Hacktivist,unsupervised learning,Program repair,Joint Motion Type,,Generic Pharmaceutical,tissue microarrays,Tissue
proxy labels,,HTTP Secure,Validation set,Programming team,Joint Space,,Genetic Engineering,tissue microdissection,Xenogeneic
random forest,,HTTPS,,Revision control,Kinematics,,Genomics,tissue models,Xenograft
Rectified Linear Unit,,Human centred security,,Scripting language,Logistics,,Genotype,tumoroid,
recurrent neural network,,Identity check,,Scrum,Marine Robotics,,Habituation,Ventricular assist device,
reinforcement learning,,Identity theft,,Scrum development,Material Processing Robot,,Hormone,xenograft,
ReLU,,Information security,,Scrum master,Medical Robots,,Immunology,xenotransplantation,
RNN,,Insecure channel,,Singleton pattern,Mining Robotics,,Infectious Disease,,
scikit learn,,Insider threat,,Software bug,Motion Axis,,Infusion Kinetics,,
semi supervised learning,,keylogger,,Software deployment,Motion Planning,,Insulin,,
semi supervised machine learning,,malicious software,,Software development environment,Nanobot,,Kinase,,
sentiment analysis,,Malware,,Software development process,Neurorobotics,,Lyophilisation,,
sigmoid function,,Message authentication,,Software engineering,Offline programming,,Lyophiliser,,
