AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,"Synthetic Biology, Tissue Engineering, Regenerative Medicine",Pharmacology and pharmaceuticals
activation function,Amino acid,access control,bag of words,Agile development,Actuator,Active Pharmaceutical Ingredient,Active Immunity
active learning,Anticodon,Admin privilege,Bayes Theorem,Agile methods,Agent Based Systems,Antibody,Active Site
agglomerative clustering,Antigen,Antivirus,Bayesian network,Alpha testing,Agricultural Automation,Antigen,Adverse Drug Reaction
artificial general intelligence,Bioinformatics,Antivirus software,Behavioural analytics,Anti patterns,Assembly Robot,Artemisinin,Agonist
artificial intelligence,Carboxyl group,Asymmetric encryption,Big data,Apache Subversion,Automaton,Autoimmune Disease,Allergic Response
augmented reality,cDNA,Authenticated encryption,bigram,Automated program repair,Autonomous Agents,Biobricks,Allergy
backpropagation,Chromatin,Backdoor,data analysis,Beta testing,Autonomous systems,Bioeconomy,Allosteric modulator
Bayesian neural network,Chromosome,block cipher,Data analyst,Bytecode,Autonomous Technology,Biofuel,Analgesic
binary classification,Codon,Botnet,Data analytics,Class diagram,Autonomous vehicle,Biohacking,Anesthetic
bounding box,Cytoplasm,Browser fingerprinting,data augmentation,Code bug,Autonomous Vehicle Navigation,Biologic,Antibiotic
calibration layer,Cytosine,Brute force attack,data engineer,Code documentation,Bionics,Biological Engineering,Antibody
classification model,Deoxyribonuclease,Catfishing,Data governance,Code refactoring,Cartesian coordinate Robot,Biomedical Engineering,Antibody Production
confusion matrix,deoxyribonucleic acid,Cipher,Data lake,Code smells,Climbing Robots,Biopharmaceutical,Bacteria
convolutional filter,DNA,ciphertext,Data mining,Code style,Cloud robotics,Bioreactor,Bioassay
convolutional layer,DNA fingerprinting,Clickjacking,Data modeling,Data modeling,Cobots,Biosensor,Bioavailability
convolutional neural network,DNA polymerase,Cloud security,Data pool,Database management system,Cognitive Control Architectures,Carlson Curve,Biologics
decision tree,DNA sequencing,Computer Network Attack,data science,Debugging,Cognitive Modeling,Cell Culture,Biopharmaceutics
deep neural network,Enzyme,Computer virus,Data Set,Delta debugging,Collaborative Robot,Cell Line,Bioreactor
dimension reduction,Gel electrophoresis,Computer worm,Data visualization,Design patterns,Collision Avoidance,Cell Strain,Biotech
DQN,Gene expression,Credit Card Fraud,Data Warehouse,Docker,"Compliant Robot
",Cell Therapy,Biotransformation
empirical risk minimization,Genetic engineering,Crimeware,Data wrangling,Event driven language,Controlled robot,Chassis,Biotranslocation
epsilon greedy policy,Genotype,Crypojacking,dataset,Executable code,Controlled robot dynamics,Clinical Trial,Body weight
exploding gradient problem,Guanine,cryptographic system,Deep Learning,Explicit declaration,Cyborgs,Codon,Carcinogenicity
false negative,Immunoglobulin,Cryptography,divisive clustering,Firebase,Cylindrical coordinate Robot,DNA,Central Nervous System
false positive,Meiosis,Cryptosystem,feature engineering,Full stack developer,Developmental Robotics,DNA Synthesis,Chemotherapy
feature engineering,Messenger RNA,Cyber Crime,feature extraction,Git,Domestic Robotics,Drug Delivery,Cheng-Prusoff equation
feature extraction,Mitosis,Cyber security,feature set,Github,Downtime,Drug Product,Chromatography
feature set,mRNA,Cyber Terrorism,feature vector,Haskell,Embodied Cognitive Science,Engineering Biology,Clinical Design
feature vector,Mutagen,Cyber Warfare,Hadoop,High level language,End effector,Fermentation,Clinical Supply
federated learning,Nuclease,cyberattack,imbalanced dataset,Human computer interface,Epigenetic Robotics,Fermentor,Clinical Therapeutic Index
feedforward neural network,Peptide,cyberespionage,Machine learning engineer,IDE,Evolutionary Robotics,Gene Drive,Concentration response curve
FFN,Peptide bond,Cybersecurity,machine learning model,Implicit declaration,Factory Automation,Gene Expression,Contamination
