AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Regenerative Medicine & Tissue Engineering
activation function,Amino acid,access control,bag of words,Agile development,Actuator,Active Pharmaceutical Ingredient,Active Immunity,Admixed embryo
active learning,Anticodon,Admin privilege,Bayes Theorem,Agile methods,Agent Based Systems,Antibody,Active Site,Allogeneic
agglomerative clustering,Antigen,Antivirus,Bayesian network,Alpha testing,Agricultural Automation,Antigen,Adverse Drug Reaction,Allograft
artificial general intelligence,Bioinformatics,Asymmetric encryption,Behavioural analytics,Anti patterns,Assembly Robot,Artemisinin,Agonist,artificial cells
artificial intelligence,Carboxyl group,Authenticated encryption,Big data,Apache Subversion,Automaton,Autoimmune Disease,Allergic Response,artificial chromosomes
augmented reality,cDNA,block cipher,bigram,Automated program repair,Autonomous Agents,Biobricks,Allergy,Artificial organs
backpropagation,Chromatin,Botnet,data analysis,Beta testing,Autonomous systems,Biohacking,Allosteric modulator,Autograft
Bayesian neural network,Chromosome,Browser fingerprinting,Data analyst,Bytecode,Autonomous Technology,Biopharmaceutical,Analgesic,Autologous
binary classification,Codon,Brute force attack,Data analytics,Class diagram,Autonomous vehicle,Bioreactor,Anesthetic,Bacterial artificial chromosome
bounding box,Cytoplasm,Catfishing,data augmentation,Code bug,Autonomous Vehicle Navigation,Biosensor,Antibiotic,Bioartificial organs
calibration layer,Cytosine,Cipher,data engineer,Code documentation,Bionics,Cell Line,Antibody,biobanking
classification model,Deoxyribonuclease,ciphertext,Data governance,Code refactoring,Cartesian coordinate Robot,Cell Strain,Antibody Production,biological specimen banks
confusion matrix,deoxyribonucleic acid,Clickjacking,Data lake,Code smells,Climbing Robots,Codon,Bacteria,biorepository
convolutional filter,DNA fingerprinting,Cloud security,Data mining,Code style,Cloud robotics,DNA,Bioassay,biospecimen
convolutional layer,DNA polymerase,Computer Network Attack,Data modeling,Data modeling,Cobots,DNA Synthesis,Bioavailability,Blastocyst
convolutional neural network,DNA sequencing,Computer virus,Data pool,Database management system,Cognitive Control Architectures,Drug Delivery,Biologics,cell assays
decision tree,Enzyme,Computer worm,data science,Debugging,Cognitive Modeling,Drug Product,Biopharmaceutics,Cell based medicinal product
deep neural network,Gel electrophoresis,Credit Card Fraud,Data Set,Delta debugging,Collaborative Robot,Fermentor,Bioreactor,cell chips
dimension reduction,Gene expression,Crimeware,Data visualization,Design patterns,Collision Avoidance,Gene Drive,Biotech,Cell culture
deep q-network,Genetic engineering,Crypojacking,Data Warehouse,Docker,"Compliant Robot
",Gene Expression,Biotransformation,cell fusion
empirical risk minimization,Genotype,cryptographic system,Data wrangling,Event driven language,Controlled robot,Genetic Engineering,Biotranslocation,cell microarrays
epsilon greedy policy,Guanine,Cryptography,dataset,Executable code,Controlled robot dynamics,Genetically Modified Organism,Body weight,cell sorting
exploding gradient problem,Immunoglobulin,Cryptosystem,Deep Learning,Explicit declaration,Cyborgs,Genome,Carcinogenicity,Cell therapy
